campus,sigla
Campus Araraquara,ARQ
Campus Avaré,AVR
Campus Barretos,BRT
Campus Bauru,BRU
Campus Birigui,BRI
Campus Boituva,BTV
Campus Bragança Paulista,BRA
Campus Campinas,CMP
Campus Campos do Jordão,CJO
Campus Capivari,CPV
Campus Caraguatatuba,CAR
Campus Carapicuíba,CRP
Campus Catanduva,CTD
Campus Cidade Tiradentes,CIT
Campus Cotia,COT
Campus Cubatão,CBT
Campus Diadema,DID
Campus Franco da Rocha,FRO
Campus Guarujá,GJA
Campus Guarulhos,GRU
Campus Hortolândia,HTO
Campus Ilha Solteira,IST
Campus Itapetininga,ITP
Campus Itaquaquecetuba,ITQ
Campus Jacareí,JCR
Campus Jaçana,JCN
Campus Jardim Ângela,JAN
Campus Jundiaí,JND
Campus Matão,MTO
Campus Mauá,MAU
Campus Miracatu,MRC
Campus Osasco,OSA
Campus Piracicaba,PRC
Campus Pirituba,PTB
Campus Presidente Epitácio,PEP
Campus Presidente Prudente,PRU
Campus Registro,RGT
Campus Ribeirão Preto,RPR
Campus Rio Claro,RCL
Campus Salto,SLT
Campus Santos,SAN
Campus São Bernardo do Campo,SBC
Campus São Carlos,SCL
Campus São João da Boa Vista,SBV
Campus São José do Rio Preto,SJP
Campus São José dos Campos,SJC
Campus São Miguel Paulista,SMP
Campus São Paulo,SPO
Campus São Roque,SRQ
Campus São Vicente,SVC
Campus Serrana,SER
Campus Sertãozinho,SRT
Campus Sorocaba,SOR
Campus Sumaré,SMR
Campus Suzano,SZN
Campus Tupã,TUP
Campus Votuporanga,VTP
